produk_id,bahan_aktif_id,kadar,satuan
1,1,480,g/l
2,2,150,g/l
2,3,150,g/l
3,4,50,%
4,5,25,%
5,6,30,g/l
6,7,525,g/l
7,8,50,g/l
8,9,85,%
9,10,270,g/l
10,11,200,g/l
11,12,750,g/l
12,13,30,g/l
13,14,200,g/l
14,15,80,%
15,16,3 - 10,%
15,17,1 - 2.5,%
16,18,50,g/l
17,19,100,g/l
18,20,300,g/l
19,21,660,g/l
20,22,670,g/l
21,23,20,%
22,24,81,%
23,25,300,g/l
23,26,150,g/l
24,27,60,%
25,28,95,%
26,29,240,g/l
27,30,50,%
27,31,25,%
28,32,135,g/l
29,33,1 x 10^6,cfu/g
29,34,1 x 10^6,cfu/g
30,35,250,g/l
31,36,85,%
32,37,9,%
33,38,7 - 8,%
34,39,95,%
35,40,480,g/l
36,41,120,ml/l
37,42,490,g/l
38,15,75,%
39,43,350,g/l
40,40,500,g/l
40,44,50,g/l
41,45,80,g/l
41,46,120,g/l
42,47,500,g/l
43,35,250,g/l
44,48,200,g/l
45,43,600,g/l
46,40,405,g/l
47,49,800,g/l
48,50,3,%
49,15,70,%
49,51,5,%
50,52,865,g/l
51,53,0.05,%
52,54,42,%
53,55,200,g/l
53,56,200,g/l
54,15,80,%
55,57,250,g/l
56,58,18,%
56,45,12,%
57,23,20,g/l
58,30,430,g/l
59,59,150,g/l
60,26,100,g/l
60,60,300,g/l
61,61,240,g/l
62,32,138,g/l
63,62,80,%
64,63,98,%
65,64,60,g/l
66,65,30,%
67,66,20,%
67,67,80,%
68,37,15,%
69,68,>= 25 -< 30,%
69,69,>= 1 -< 2.5,%
69,70,>= 10 -< 20,%
70,71,80,%
71,23,50,g/l
72,13,10,%
72,72,40,%
73,73,98,%
74,74,50,g/l
75,71,80,%
76,13,40,g/l
76,75,120,g/l
77,76,25,g/l
77,77,60,g/l
78,78,50,g/l
79,79,20,%
80,32,288,g/l
81,53,60,g/l
82,80,90,%
83,81,400,g/l
84,82,400,g/l
84,44,40,g/l
85,83,98,%
86,84,100,g/l
86,39,40,g/l
86,85,80,g/l
87,72,50,g/l
88,86,0.05,%
89,41,75,g/l
89,87,25,g/l
90,28,300,g/l
91,29,480,g/l
92,11,200,g/l
93,40,100,g/l
94,13,50,g/l
95,88,50,%
96,89,500,g/l
97,90,80,%
98,91,50,%
99,92,100,g/l
99,93,100,g/l
100,94,62,%
101,44,30,g/l
102,95,500,g/l
103,72,100,g/l
103,96,36,g/l
104,97,63,%
104,98,5,%
105,29,525,g/l
106,5,95,%
107,94,480,g/l
108,99,200,g/l
109,100,0.75,%
110,43,25,%
111,101,75,%
112,13,30,g/l
113,40,550,g/l
113,44,100,g/l
114,102,70,%
114,88,6,%
115,103,50,%
116,104,20,%
117,32,276 (setara dengan ion parakuat: 200 g/l),g/l
118,43,10,%
119,105,240,g/l
120,29,480,g/l
121,63,80,%
122,106,15,g/l
123,107,98,%
124,108,70.59,%
125,78,93,g/l
125,48,281,g/l
126,109,600,g/l
127,110,65,%
128,111,250,g/l
129,112,150,g/l
129,48,100,g/l
130,113,400,g/l
131,113,400,g/l
132,114,75,%
133,29,160,g/l
134,63,80,%
135,102,70,%
136,4,50,%
137,32,280,g/l
138,8,5,%
139,63,75,%
140,115,99.8,%
141,15,80,%
142,116,20.01,%
143,22,480,g/l
144,40,500,g/l
144,44,50,g/l
145,103,45,%
146,117,29.1 - 30.9,%
147,118,3.24,g/l
148,119,20,%
148,120,15,%
149,5,125,g/l
149,96,20,g/l
150,113,400,g/l
151,102,70,%
152,121,66,%
153,29,550,g/l
154,122,10,g/l
154,77,50,g/l
155,123,50,g/l
156,29,241,g/l
157,124,50,%
158,125,120,g/l
158,29,240,g/l
159,53,50,g/l
160,15,80,%
161,94,620,g/l
162,126,50,g/l
163,13,50,g/l
164,127,0.14,%
164,44,0.15,%
165,128,150,g/l
165,129,30,g/l
166,130,55,%
166,26,5,%
167,131,250,g/l
168,84,480,g/l
169,84,97,%
170,132,150,g/l
171,53,50,g/l
172,28,125,g/l
172,20,75,g/l
173,133,30,g/l
173,134,30,g/l
174,135,120,g/l
175,23,10,%
176,136,95,%
177,137,450,g/l
178,138,18,ml/l
179,126,25,g/l
180,102,70,%
180,88,6,%
181,32,276,g/l
182,139,0.031,%
182,140,0.125,%
182,141,0.030,%
182,142,0.100,%
182,143,0.350,%
182,44,0.100,%
183,102,70,%
183,88,8,%
184,144,95,%
185,42,480,g/l
186,145,75,g/l
186,146,75,g/l
187,147,20,g/l
188,47,500,g/l
189,51,350,g/l
190,96,25,g/l
191,148,80,%
192,44,50,g/l
193,112,75,%
194,149,80,%
195,88,75,g/l
195,63,375,g/l
196,51,98,%
197,63,75,%
198,48,100,g/l
198,13,20,g/l
199,48,250,g/l
200,150,95,%
201,151,200,g/l
202,152,95,%
203,78,"0,4",%
204,82,500,g/l
205,153,100,g/l
206,154,100,g/l
206,13,20,g/l
207,48,180,g/l
207,48,180,g/l
207,75,120,g/l
207,75,120,g/l
208,35,250,g/l
209,32,276,g/l
209,32,300,g/l
210,121,56,%
211,125,1.5,g/l
212,155,500,g/l
212,84,50,g/l
213,88,20,%
214,156,276,g/l
215,117,3 - 10,%
215,157,1 - 2.5,%
216,29,240,g/l
217,158,"< 2,5",%
218,159,min 99.5,%
219,11,200,g/l
220,102,70,%
221,160,70,%
222,161,>38.7 - <41.3,%
223,35,250,g/l
224,126,25,g/l
225,108,0.081,%
226,32,140,g/l
227,162,103,g/l
228,163,0.051,%
228,163,0.031,%
228,163,12.1,g/l
228,163,0.2,%
228,127,0.2,%
228,163,0.081,%
228,163,0.1,%
228,163,6.1,g/l
228,164,0.015,%
229,165,3,%
230,113,500,g/l
231,32,276,g/l
232,9,10,%
233,74,95,%
234,166,420,g/l
235,167,0.3,%
236,84,100,g/l
236,155,530,g/l
237,168,250,g/l
238,39,35,g/l
238,155,265,g/l
239,169,25,%
240,103,50,%
241,32,288,g/l
242,170,500,g/l
243,58,400,g/l
244,171,720,g/l
245,11,"200 (setara dengan glufosinat: 182,74 g/l)",g/l
246,172,50,%
247,113,505,g/l
248,108,12.13,g/l
