id,produk_id,komoditas_id,opt_id,dosis,satuan_dosis
1,1,1,1,150 - 300,ml/ha
2,1,1,2,,-
3,1,1,3,,-
4,1,1,4,,-
5,1,1,5,,-
6,1,1,6,150 - 300,ml/ha
7,1,1,7,,-
8,1,1,8,,-
9,1,1,9,,-
10,2,2,10,300,ml/ha
11,3,3,11,300,g/ha
12,3,3,12,300,g/ha
13,3,3,13,300,g/ha
14,3,3,14,300,g/ha
15,3,3,15,250-300,g/ha
16,3,4,16,300,g/ha
17,4,2,14,1,g/l
18,5,5,17,75,ml/ha
19,5,5,18,"93,75",ml/ha
20,6,6,19,0.75 - 1.5,l/ha
21,6,6,20,0.75 - 1.5,l/ha
22,6,6,21,0.75 - 1.5,l/ha
23,6,6,22,0.75 - 1.5,l/ha
24,7,4,23,0.375,ml/l
25,9,7,4,116.25 - 271.25,ml/ha
26,9,7,24,,-
27,9,7,25,,-
28,9,7,26,,-
29,9,7,27,,-
30,9,7,28,,-
31,9,7,29,,-
32,9,7,9,116.25 - 271.25,ml/ha
33,9,7,6,,-
34,9,7,30,,-
35,9,7,31,,-
36,9,7,32,,-
37,9,7,33,,-
38,10,8,34,1 - 3,l/ha
39,10,8,35,1 - 3,l/ha
40,10,8,3,1 - 3,l/ha
41,10,8,36,1 - 3,l/ha
42,10,8,37,1 - 3,l/ha
43,10,8,38,1 - 3,l/ha
44,10,8,6,1 - 3,l/ha
45,10,8,9,1 - 3,l/ha
46,11,9,39,2 - 4,l/ha
47,11,9,40,,-
48,11,9,41,,-
49,11,9,42,,-
50,12,10,43,2,ml/l
51,13,4,44,"1,5",ml/l
52,13,4,45,1,ml/l
53,14,11,46,1,g/l
54,16,12,47,50,ml/m2
55,17,13,48,"0,75",gr/Pohon
56,18,14,49,2,ml/l
57,18,14,50,2,ml/l
58,19,15,9,0.75-1.5,l/ha
59,19,15,6,0.75-1.5,l/ha
60,19,16,6,2 jam setelah semprot,-
61,19,16,9,2 jam setelah semprot,-
62,19,16,3,2 jam setelah semprot,-
63,19,16,35,2 jam setelah semprot,-
64,19,16,51,2 jam setelah semprot,-
65,19,17,9,0.75-1.5,l/ha
66,19,17,6,0.75-1.5,l/ha
67,19,17,35,0.75-1.5,l/ha
68,19,17,38,0.75-1.5,l/ha
69,19,18,51,0.75-1.5,l/ha
70,19,18,36,0.75-1.5,l/ha
71,19,18,52,0.75-1.5,l/ha
72,19,19,3,1.5-3.0,l/ha
73,19,20,53,0.75-1.5,l/ha
74,19,20,9,0.75-1.5,l/ha
75,19,21,3,1.5-3.0,l/ha
76,19,22,3,1.0-3.0,l/ha
77,19,23,9,0.75-1.5,l/ha
78,19,23,36,0.75-1.5,l/ha
79,19,24,6,0.75-1.5,l/ha
80,19,24,9,0.75-1.5,l/ha
81,19,24,34,0.75-1.5,l/ha
82,19,24,51,0.75-1.5,l/ha
83,19,25,54,1.125-2.25,l/ha
84,19,25,55,1.125-2.25,l/ha
85,19,25,56,1.125-2.25,l/ha
86,19,26,57,0.75-1.5,l/ha
87,20,18,58,1,l/ha
88,20,18,59,"0,75-1",l/ha
89,20,18,60,"0,75-1",l/ha
90,20,18,31,"0,75-1",l/ha
91,21,14,61,"0,25",g / 10 L
92,22,11,46,1.5,g/l
93,22,27,62,1.5,g/l
94,23,28,63,1,ml/l
95,24,29,64,-,%
96,26,17,65,1-3,l/ha
97,26,17,6,1-3,l/ha
98,26,17,52,1-3,l/ha
99,26,17,35,1-3,l/ha
100,27,2,10,"1,5",g/l
101,28,8,38,,-
102,28,8,35,,-
103,28,8,34,,-
104,28,8,51,,-
105,28,8,36,3-4,l/ha
106,28,8,30,,-
107,28,8,57,,-
108,28,8,66,,-
109,28,8,58,,-
110,28,8,6,,-
111,28,8,9,3-4,l/ha
112,29,4,16,2,g/l
113,30,30,64,1,ml/l
114,31,31,33,150 - 250,g/ha
115,31,31,24,150 - 250,g/ha
116,31,31,67,150 - 250,g/ha
117,31,31,30,150 - 250,g/ha
118,31,31,2,150 - 250,g/ha
119,31,31,68,150 - 250,g/ha
120,31,31,69,150 - 250,g/ha
121,31,32,9,150 - 250,g/ha
122,31,32,30,150 - 250,g/ha
123,31,32,24,150 - 250,g/ha
124,31,32,70,150 - 250,g/ha
125,31,32,29,150 - 250,g/ha
126,31,32,71,150 - 250,g/ha
127,32,3,72,75,kg/ha
128,33,29,64,-,
129,35,33,73,0.75,ml/l
130,36,34,74,300 - 450,ml/ha
131,36,34,75,300 - 450,ml/ha
132,36,34,76,300 - 450,ml/ha
133,36,34,33,300 - 450,ml/ha
134,36,34,77,300 - 450,ml/ha
135,36,34,78,300 - 450,ml/ha
136,36,34,79,300 - 450,ml/ha
137,37,6,60,,-
138,37,6,58,225-300,ml/ha
139,38,28,80,2,g/l
140,39,2,11,"112,5",ml/ha
141,39,2,14,"112,5",ml/ha
142,40,4,44,1.5,ml/l
143,40,4,81,1.5,ml/l
144,41,9,74,500 - 600,ml/ha
145,41,9,42,500 - 600,ml/ha
146,41,9,41,,-
147,41,9,82,,-
148,41,9,79,500 - 600,ml/ha
149,42,35,7,"0,5 - 1",l/ha
150,42,35,6,,
151,42,35,27,,-
152,42,35,4,"0,5 - 1",l/ha
153,43,30,64,16,ml/l/pohon
154,44,4,44,1,ml/l
155,44,4,45,"1,125",ml/l
156,44,4,81,"1 - 1,5 ml/l",ml/l
157,45,3,83,3,ml/kg benih
158,45,3,14,3,ml/kg benih
159,46,36,84,"0,5",ml/l
160,47,30,85,"0,250",ml/perangkap
161,47,4,86,"0,250",ml/perangkap
162,49,2,10,1,g/l
163,49,11,46,"1,5",kg/ha
164,49,28,87,1,g/l
165,50,1,54,1 - 3,l/ha
166,50,1,30,1 - 3,l/ha
167,50,1,88,1 - 3,l/ha
168,50,2,89,"0,5 - 1",l/ha
169,50,2,41,"0,5 - 1",l/ha
170,50,2,90,"0,5 - 1",l/ha
171,51,37,91,,-
172,51,37,92,,-
173,53,11,93,1,ml/l
174,54,11,46,"3,5",g/l
175,55,38,94,280 - 350,ml/ha
176,55,38,82,280 - 350,ml/ha
177,55,38,79,280 - 350,ml/ha
178,55,38,74,280 - 350,ml/ha
179,55,38,95,280 - 350,ml/ha
180,55,38,77,280 - 350,ml/ha
181,55,38,40,280 - 350,ml/ha
182,56,9,96,60 – 120,g/ha
183,56,9,74,,
184,56,9,97,,-
185,56,9,98,,-
186,56,9,99,60 – 120,-
187,56,9,42,,-
188,56,9,100,60 – 120,g/ha
189,57,14,64,4 ml/L air/aplikasi,-
190,58,14,50,2,ml/l
191,59,39,30,3 - 4,l/ha
192,59,39,9,3 - 4,l/ha
193,59,39,6,3 - 4,l/ha
194,59,39,35,3 - 4,l/ha
195,59,39,36,3 - 4,l/ha
196,59,39,38,3 - 4,l/ha
197,60,40,101,2,ml/l
198,60,4,102,2,ml/l
199,60,14,103,"1,5",ml/l
200,61,41,82,2-3,l/ha
201,61,41,90,2-3,l/ha
202,61,41,104,,-
203,61,41,25,,-
204,61,41,42,"1,5-3",l/ha
205,61,20,6,"2,5-3",l/ha
206,61,20,35,,-
207,61,20,34,"2,5-3",l/ha
208,61,42,34,"2,5-3",l/ha
209,61,42,35,,-
210,61,42,6,"2,5-3",l/ha
211,62,24,24,1.5 - 2.25,l/ha
212,62,24,9,1.5 - 2.25,l/ha
213,62,24,35,1.5 - 2.25,l/ha
214,63,36,105,3,g/l
215,63,4,106,1.5,g/l
216,63,4,102,1.5,g/l
217,65,14,50,2,ml/l
218,66,10,43,"0,5",g/l
219,68,3,107,50,kg/ha
220,70,11,46,2,g/l
221,71,27,108,"0,2",ml/l
222,72,14,109,"1,5",g/l
223,74,36,110,1,ml/l
224,74,4,45,1,ml/l
225,75,43,46,"1,5",g/l
226,76,14,111,"1,5",ml/l
227,77,2,42,,-
228,77,2,112,0.75-1.5,l/ha
229,77,2,113,0.75-1.5,l/ha
230,77,2,74,,-
231,77,2,95,0.75-1.5,l/ha
232,78,2,114,3,ml/l
233,78,2,115,3,ml/l
234,80,6,9,,-
235,80,6,66,"1,5 - 2",l/ha
236,80,6,116,,-
237,80,6,117,,-
238,80,6,35,,-
239,80,6,38,,-
240,80,6,3,"1,5 - 2",l/ha
241,81,44,118,"0,75 - 1,5",ml/l
242,81,44,119,"0,75 - 1,5",ml/l
243,81,2,14,"0,5",ml/l
244,81,2,120,"0,75 - 1,5",ml/l
245,81,2,83,"0,5 - 1,0",ml/l
246,83,14,121,1.5,ml/l
247,84,44,118,2,ml/l
248,86,7,69,"1 - 1,5",l/ha
249,86,7,4,"1 - 1,5",l/ha
250,86,7,76,"1 - 1,5",l/ha
251,86,7,77,"1 - 1,5",l/ha
252,86,7,9,"1 - 1,5",l/ha
253,86,7,122,"1 - 1,5",l/ha
254,86,7,24,"1 - 1,5",l/ha
255,86,7,30,"1 - 1,5",l/ha
256,87,45,123,1,ml/l
257,88,37,18,-,-
258,88,37,124,-,-
259,89,3,125,,
260,89,3,126,"0,225-0,45",l/ha
261,89,3,74,"0,225-0,45",l/ha
262,89,3,127,"0,225-0,45",l/ha
263,89,3,40,"0,225-0,45",l/ha
264,89,3,42,"0,225-0,45",l/ha
265,90,14,50,"0,75",ml/l
