id,nama
1,Flumioxazin
2,Propikonazol
3,Difenokonazol
4,Pimetrozin
5,Nitenpiram
6,Alfa sipermetrin
7,Isopropilamina glifosat
8,Emamectin Benzoate
9,Etefon
10,Topramezon
11,Amonium glufosinat
12,MCPA dimetil amina (setara dengan MCPA 620 g/l)
13,Emamektin benzoat
14,Permetrin
15,Mankozeb
16,"1,2-benzisothiazol-3(2H)-one"
17,octhilinone
18,Bifentrin
19,Ethephon
20,Azoxystrobin
21,Kalium glifosat
22,Triklopir butoksi etil ester
23,asam giberelat
24,Tribasik tembaga sulfat
25,boscalid
26,Piraklostrobin
27,"2,4-D IPA"
28,Propiconazole
29,Isopropil amina glifosat
30,Tebukonazol
31,Trifloksistrobin
32,Parakuat diklorida
33,Beauveria bassiana
34,Verticillium lecanii
35,Paklobutrazol
36,piroksasulfon
37,Saponin
38,bronopol
39,Nikosulfuron
40,Klorpirifos
41,Fenoksaprop-p-etil
42,Triklopir
43,Imidakloprid
44,Sipermetrin
45,metil bensulfuron
46,cinflubrolin
47,Ametrin
48,Klorfenapir
49,metil eugenol
50,Carbofuran
51,Azoksistrobin
52,"2,4-D dimetil amina (2,4-D dimethylammonium) setara dengan 2,4-D (2,4-D active equivalent : 720 g/l)"
53,Fipronil
54,paraquat dichloride
55,Fluazinam
56,Dimetomorf
57,Ipfenkarbazon
58,Natrium bispiribak
59,Parakuat Diklorida 150 g/l (Setara ion Parakuat 109 g/l)
60,Prokloraz
61,Isopropil Amina Glifosat (glyphosate-isopropylammonium): 240 g/l setara dengan glifosat (glyphosate active equivalent: 178 g/l)
62,belerang
63,Klorotalonil
64,Heksakonazol
65,Indosakarb
66,Polyhexamethylene biguanide
67,Water
68,chlorocresol
69,"pyridine-2-thiol 1-oxide, sodium salt"
70,2-phenylphenol
71,Mancozeb
72,Lufenuron
73,"2,4-D"
74,Lamda sihalotrin
75,Indoksakarb
76,Piribenzoksim
77,Butil sihalofop
78,Klorantraniliprol
79,"1,2-benzisothiasol-3(2H) -one"
80,Karbosulfan
81,metidation
82,Profenofos
83,s-metolaklor
84,Mesotrion
85,Fluroksipir meptil
86,Meperfluthrin
87,Etoksisulfuron
88,Simoksanil
89,Etion
90,zineb
91,"Quaternary Ammonium Compounds, benzyl (C 12- C16) alkyl dimetyhl, chlorides"
92,p-glufosinat
93,fluchloraminopyr-tefuryl
94,IPA Glifosat
95,etanol
96,Abamektin
97,Kuinklorak
98,Etil pirazosulfuron
