id,nama_umum,nama_latin
1,gulma golongan rumput,Digitaria adcendens
2,gulma golongan rumput,Echinochloa colona
3,gulma golongan rumput,Imperata cylindrica
4,gulma golongan rumput,Digitaria ciliaris
5,gulma golongan rumput,Brachiaria eruciformis
6,gulma berdaun lebar,Borreria alata
7,gulma berdaun lebar,Cleome aspera
8,gulma berdaun lebar,Alternanthera braziliana
9,gulma berdaun lebar,Ageratum conyzoides
10,penyakit hawar pelepah,Rhizoctonia solani
11,Wereng hijau,Nephotettix virescens
12,Wereng punggung putih,Sogatella furcifera
13,Kepinding Tanah,Scotinophara sp
14,Wereng coklat,Nilaparvata lugens
15,walang sangit,Leptocorysa oratorius
16,kutu kebul,Bemisia tabaci
17,nyamuk vektor DBD,"Aedes aegypti (75 ml/ha) Kalimat peringatan: Tidak boleh digunakan oleh perorangan, hanya digunakan oleh petugas Dinas Kesehatan/pest control"
18,Nyamuk,Culex quinquefasciatus
19,gulma golongan rumput,Ottochola nodosa 0.75 - 1.5 l/ha
20,gulma berdaun lebar,Clidemia hirta 0.75 - 1.5 l/ha
21,gulma berdaun lebar,Ageratum conyzoides 0.75 - 1.5 l/ha
22,gulma berdaun lebar,Melastoma malabatricum 0.75 - 1.5 l/ha
23,penggerek buah,Helicoverpa armigera
24,gulma berdaun lebar,Richardia brasiliensis
25,gulma berdaun lebar,Commelina benghalensis
26,gulma berdaun lebar,Croton hirtus
27,gulma berdaun lebar,Ipomoea triloba
28,gulma berdaun lebar,Celosia argentea
29,gulma berdaun lebar,Cleome rutidosperma
30,gulma berdaun lebar,Synedrella nodiflora
31,gulma berdaun lebar,Calopogonium mucunoides
32,gulma berdaun lebar,Phyllanthus niruri
33,gulma berdaun lebar,Amaranthus spinosus
34,gulma golongan rumput,Axonopus compressus
35,gulma golongan rumput,Paspalum conjugatum
36,gulma golongan rumput,Ischaemum timorense
37,gulma golongan rumput,Ischaemum rugosum
38,gulma golongan rumput,Ottochloa nodosa
39,gulma berdaun lebar,Marsilea crenata
40,gulma berdaun lebar,Limnocharis flava
41,gulma berdaun lebar,Monochoria vaginalis
42,gulma berdaun lebar,Ludwigia octovalvis
43,ulat grayak,Spodoptera frugiperda
44,hama trips,Thrips parvispinus
45,ulat grayak,Spodoptera litura
46,penyakit hawar daun,Phytophthora infestans
47,Rayap tanah,Coptotermes curvignathus
48,Meningkatkan produksi karet kering,
49,penyakit embun bulu,Peronospora destructor
50,penyakit bercak ungu,Alternaria porri
51,gulma golongan rumput,Setaria plicata
52,gulma berdaun lebar,Chromolaena odorata
53,gulma berdaun lebar,Diodia sarmentosa
54,teki,Cyperus rotundus
55,gulma berdaun lebar,Biden pilosa
56,gulma berdaun lebar,Mimosa invisa
57,gulma berdaun lebar,Asystasia gangetica
58,gulma berdaun lebar,Clidemia hirta
59,gulma berdaun lebar,Chromolena odorata
60,gulma berdaun lebar,Melastoma affine
61,"meningkatkan tinggi tanaman, jumlah daun, jumlah anakan dan bobot hasil",
62,Penyakit embun tepung,Oidium tingitanium
63,Penyakit kapang kelabu,Botrytis cinerea
64,-,-
65,gulma berdaun lebar,Melastoma malabathricum
66,gulma berdaun lebar,Mikania micrantha
67,gulma berdaun lebar,Eclipta prostrata
68,gulma golongan rumput,Digitaria sanguinalis
69,gulma golongan rumput,Eleusine indica
70,gulma berdaun lebar,Portulaca oleracea
71,gulma golongan rumput,Digitaria adscendens
72,Siput murbei,Pomacea canaliculata
73,penggerek polong,Maruca testulalis
74,teki,Cyperus iria
75,teki,Fimbristylis miliceae
76,gulma berdaun lebar,Bidens pilosa
77,gulma berdaun lebar,Alternanthera sessilis
78,gulma golongan rumput,Digitaria adscendes
79,gulma golongan rumput,Leptochloa chinensis
80,penyakit hawar daun,Phytopthora infestans
81,kutu daun,Myzus persicae
82,gulma golongan rumput,Echinochloa crus-galli
83,penggerek batang,Scirpophaga incertulas
84,penghisap buah,Helopeltis sp.
85,Lalat buah,Dacus spp.
86,Lalat buah,Dacus ferrugineus
87,Penyakit antraknosa,Colletotrichum sp
88,gulma golongan rumput,Echinochloa colonum
89,gulma berdaun lebar,Ludwigia hyssopifolia
90,teki,Fimbristylis littoralis
91,kecoak,Periplaneta americana
92,kecoak,Blatella germanica
93,penyakit busuk daun,Phytophtora infestans
94,gulma golongan rumput,Cynodon dactylon
95,teki,Fimbristylis miliacea
96,teki,Fimbrystylis miliacea
97,gulma berdaun lebar,Monocharia vaginalis
98,gulma berdaun lebar,Alternanthera piloxeroides
99,gulma berdaun lebar,Spenochloa zeylanica
100,gulma golongan rumput,Echinochloa cruss-galli
101,Penyakit antraknosa,Colletotrichum lagenarium
102,Penyakit antraknosa,Colletotrichum capsici
103,Penyakit antraknosa,Colletotrichum gloeosporioides
104,gulma berdaun lebar,Mersilea crenata
105,Penyakit busuk buah,Phytophthora palmivora
106,Penyakit bercak daun,Cercospora capsici
107,Siput murbei,Pomaceae canaliculata
108,,"meningkatkan jumlah bunga, jumlah buah,bobot buah, dan diameter buah"
109,ulat grayak,Spodoptera exigua
110,penggerek buah,Conopomorpha cramerella
111,pengorok daun,Liriomyza chinensis
112,gulma berdaun lebar,Alternanthera philoxeroides
113,gulma golongan rumput,Echinochloa crus-galii
114,hama putih palsu,Cnaphalocrosis medinalis
115,penggerek batang padi kuning,Schirpophaga incertulas
116,gulma berdaun lebar,Erigeron sumatrensis
117,gulma golongan rumput,Brachiaria mutical
118,perusak daun,Plutella xylostella
119,ulat krop,Crocidolomia pavonana
120,walang sangit,Leptocorisa oratorius
121,pengorok daun,Liriomyza huidobrensis
122,gulma berdaun lebar,Euphorbia hirta
123,penggulung daun,Lamprosema indicata
124,Nyamuk,Aedes aegypti
125,gulma golongan rumput,Paspalum vaginatum
126,gulma golongan rumput,Echinochloa crusgalli
127,teki,Cyperus difformis
128,gulma golongan rumput,Brachiaria mutica
129,gulma berdaun lebar,Boreria alata
130,gulma berdaun lebar,Praxelis clematidea
131,Rayap tanah,Coptotermes curvignsathus
132,penyakit rebah semai,pythium aphanidermatum
133,Penggerek Buah Kopi,Hypothenemus hampei
134,gulma berdaun lebar,Spenochlea zeylanica
135,gulma berdaun lebar,Passiflora sp.
136,gulma berdaun lebar,Asystasia sp.
137,penggerek polong,Etiella zinckenella
138,teki,Cyperus difformis (40 - 60 g/ha ) Lymnocharis flava
139,gulma berdaun lebar,Borreria latifolia (100 - 200 g/ha ) Leguminosa
140,gulma berdaun lebar,Ageratum conyzoides (150 - 200 g/ha ) Borreria alata (150 - 200 g/ha ) Synedrella nodiflora
141,teki,Scirpus juncoides
142,hama trips,Thrips palmi
143,Gulma daun lebar,Mimosa invisa Portulaca oleracea Richardia brasiliensis
144,gulma golongan rumput,Brachiaria mutica Croton hirtus Digitaria ciliaris Eleusine indica
145,Gulma daun lebar,Cleome sp.
146,gulma golongan rumput,Digitaria sp.
147,gulma golongan rumput,Leersia hexandra
148,gulma golongan rumput,Panicum distichum
149,gulma berdaun lebar,Ludwigia adscendens
150,gulma berdaun lebar,Ludwigia perennis
