id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
1,NORTHAM 480 SC,DELTAGRO MULIA SEJATI,Herbisida,01030120269427,2026-04-20,2031-04-20
2,RIOMAX 150/150 EC,AGRO NATURAL TECHNOLOGY,Fungisida,01020120093365,2024-03-05,2029-03-05
3,Plenum 50 WG,SYNGENTA INDONESIA,Insektisida,01010120093558,2024-03-05,2029-03-05
4,FICAZ 25 SP,ROYAL AGRO INDONESIA,Insektisida,01010120237998,2024-03-04,2029-03-04
5,ALFA 30 EC,KATAYA ABADI,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120093514,2024-08-09,2029-08-09
6,TURBO UP GOLD 525 SL,BERBAK AGRO SEJATI,Herbisida,01030120124260,2022-10-04,2027-10-04
7,IGUANA 50 EC,DALZON CHEMICALS INDONESIA,Insektisida,01010120083193,2023-04-26,2028-04-26
8,ETEPHON 85 TC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Zat Pengatur Tumbuh Tanaman,042018527,2023-02-08,2028-02-08
9,NUVATA 270 SL,ENFARM CROP SCIENCE,Herbisida,01030120258974,2025-09-26,2030-09-26
10,BERSIHTOP 200 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120269339,2026-04-20,2031-04-20
11,DKNMC PLUS 750 SL,DANKEN INDONESIA,Herbisida,01030120248471,2024-11-18,2029-11-18
12,ULETE 30 EC,BERBAK AGRO SEJATI,Insektisida,01010120248337,2024-08-09,2029-08-09
13,CENTATIN 200 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120072727,2022-06-27,2027-06-27
14,CHERIZEB 80 WP,ARENA AGRO UTAMA,Fungisida,01020120175677,2022-12-05,2027-12-05
15,PREVENTOL BO,BLUE CUBE INDONESIA,Pestisida lain-lain,0420241350,2024-11-18,2029-11-18
16,BIFTIN 50 SC,GONGCHENG BIOTECH INDONESIA,Bahan pengawet kayu,04110120269530,2026-07-16,2031-07-16
17,Prolatex 100 PA,AGRO SEJAHTERA INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120083217,2024-03-05,2029-03-05
18,RED BELL 300 SC,SAKASAKI,Fungisida,01020120144917,2024-09-19,2029-09-19
19,ROUNDUP POWERMAX 660 SL,BAYER INDONESIA,Herbisida,01030120134713,2023-04-26,2028-04-26
20,ETRON 670 EC,ASIA GALA KIMIA,Herbisida,01030120134771,2023-08-28,2028-08-28
21,NUCLEO 20 SP,WAHANA PUNDIKARSA ABADI,Zat Pengatur Tumbuh Tanaman,01040120269611,2026-07-16,2031-07-16
